DHT,seqid
35.5903,1418
32.4528,1419
27.2997,1420
30,1421
29.2876,1422
28.1915,1423
30.137,1424
33.7802,1425
28.8462,1426
19.6246,1427
36.214,1428
36.4312,1429
27.3649,1430
29.1803,1431
21.466,1432
26.9504,1433
29.4798,1434
41.2791,1435
35.8396,1436
34.8276,1437
46.4912,1438
42.1488,1439
41.2322,1440
29.3194,1441
25.523,1442
25.6351,1443
25.7862,1444
26.9663,1445
35.4167,1446
21.9512,1447
37.5291,1448
44.8513,1449
22.3776,1450
30,1451
35.1275,1452
34.5566,1453
32.0442,1454
31.3333,1455
22.3684,1456
30,1457
42.4731,1458
26.5116,1459
36.9186,1460
19.2308,1461
27.1084,1462
31.1765,1463
21.8894,1464
31.5364,1465
30.9524,1466
23.7668,1467
29.5699,1468
28.6988,1469
32.7645,1470
35.6401,1471
19.2029,1472
30.4651,1473
20.2614,1474
27.8146,1475
20.0495,1476
28.8462,1477
22.8374,1478
34.1014,1479
34.4609,1480
26.0526,1481
19.2053,1482
20.9738,1483
32.6633,1484
26.7241,1485
25.3823,1486
20.9205,1487
25.7143,1488
36.0902,1489
25.3333,1490
39.5161,1491
36.4273,1492
29.4554,1493
36.2345,1494
27.49,1495
28.1553,1496
29.2683,1497
28.4483,1498
32.8125,1499
25.9434,1500
31.6726,1501
43.8247,1502
27.2727,1503
25.8065,1504
30.0885,1505
32.3129,1506
24.1379,1507
26.7327,1508
26.7913,1509
25.5814,1510
31.9613,1511
32.1053,1512
22.9947,1513
41.2017,1514
27.451,1515
28.4644,1516
35.061,1517
33.8308,1518
17.6087,1519
40,1520
30.3905,1521
28.5714,1522
44.8276,1523
27.9736,1524
37.7049,1525
35.3982,1526
27.1277,1527
34.1564,1528
24.2478,1529
26.8354,1530
25.0825,1531
27.0655,1532
35.6948,1533
33.3333,1534
18.6992,1535
32.8502,1536
43.1034,1537
35.0785,1538
36,1539
33.9623,1540
24.5421,1541
29.6214,1542
26.4423,1543
18.9781,1544
21.8045,1545
31.3043,1546
31.0526,1547
36.7284,1548
35.8559,1549
26.7442,1550
32.964,1551
26.0684,1552
31.6176,1553
35.5828,1554
28.3186,1555
35.241,1556
31.2727,1557
37.6884,1558
37.4593,1559
36.2963,1560
25.8373,1561
34.9727,1562
34.1346,1563
26.875,1564
21.902,1565
26.6533,1566
34.2466,1567
29.646,1568
41.6244,1569
32.1981,1570
28.2927,1571
39.4052,1572
31.6176,1573
26.25,1574
29.1339,1575
32.233,1576
31.4815,1577
43.125,1578
26.5306,1579
30.2013,1580
16.21,1581
35.4298,1582
38.191,1583
27.5304,1584
37.9447,1585
29.8701,1586
30.1587,1587
29.8611,1588
23.7721,1589
35.7542,1590
29.3506,1591
30.3571,1592
28.1167,1593
27.0784,1594
43.4783,1595
26.1603,1596
27.7886,1597
28.2322,1598
26.5306,1599
36.9048,1600
28.6932,1601
35.942,1602
28.0514,1603
37.0588,1604
33.4091,1605
17.0732,1606
30.5882,1607
33.1858,1608
31.7195,1609
44.3548,1610
39.1304,1611
33.3333,1612
32.4415,1613
24.8244,1614
27.7132,1615
38.5714,1616
27.2277,1617
22.0588,1618
25.8581,1619
36.3636,1620
32.4903,1621
25.6545,1622
30.7229,1623
29.7872,1624
17.2414,1625
30.0781,1626
31.0185,1627
25.9048,1628
36.5385,1629
25,1630
26.3158,1631
24.581,1632
30.1493,1633
36.0294,1634
19.4958,1635
28.4946,1636
28.6982,1637
18.1818,1638
21.6783,1639
26.5823,1640
25.3659,1641
39.4904,1642
19.084,1643
15.7143,1644
29.4872,1645
24.8299,1646
28.27,1647
16.9811,1648
34.6008,1649
31.0811,1650
34.8684,1651
33.0097,1652
28.6325,1653
39.1167,1654
45.8564,1655
23.8482,1656
37.1134,1657
30.7471,1658
29.1028,1659
27.8689,1660
30.7506,1661
23.0769,1662
36.3014,1663
39.7727,1664
29.8951,1665
24.159,1666
37.5839,1667
19.4521,1668
28.2353,1669
27.7641,1670
29.8643,1671
23.6782,1672
24.6862,1673
21.6802,1674
39.6694,1675
38.1877,1676
29.2308,1677
37.5536,1678
33.1361,1679
32.6797,1680
28.972,1681
34.375,1682
36.6412,1683
26.4605,1684
38.5827,1685
42.1053,1686
34.0909,1687
32.9114,1688
46.2151,1689
29.6296,1690
30.033,1691
30.3965,1692
33.9623,1693
25.5172,1694
41.194,1695
20.8543,1696
32.9609,1697
32.9365,1698
20.8791,1699
32.5688,1700
33.7209,1701
34.5912,1702
41.3043,1703
21.875,1704
17.1429,1705
26.1333,1706
28,1707
33.1288,1708
29.0816,1709
40.1384,1710
0,1711
31.7204,1712
27.6382,1713
36.8644,1714
54.8571,1715
21.8623,1716
30.3167,1717
30.1444,1718
25.4237,1719
28.7081,1720
26.5393,1721
23.9057,1722
27.9446,1723
21.8684,1724
29.927,1725
29.4118,1726
39.233,1727
21.6216,1728
30.4054,1729
40.3587,1730
36.7206,1731
34.9057,1732
24.0351,1733
24.5902,1734
39.8256,1735
22.2222,1736
37.1859,1737
29.9363,1738
33.9713,1739
28.0802,1740
22.2772,1741
18.8732,1742
29.6651,1743
26.8072,1744
39.7004,1745
32.7044,1746
26.0073,1747
18.2759,1748
17.7966,1749
30.4598,1750
26.5487,1751
26.1261,1752
27.9621,1753
28.4314,1754
34.0708,1755
40.3189,1756
28.6096,1757
32.9193,1758
33.0986,1759
26.1324,1760
38.2857,1761
31.068,1762
16.8067,1763
36.3077,1764
31.694,1765
41.5584,1766
23.8806,1767
21.7803,1768
40.1554,1769
38.9671,1770
38.6997,1771
30.8219,1772
38.5027,1773
18.543,1774
31.2785,1775
29.0625,1776
19.0476,1777
29.3893,1778
29.3839,1779
29.7619,1780
34.384,1781
27.6139,1782
41.2698,1783
26.6667,1784
36.3184,1785
24.7788,1786
31.8841,1787
39.3064,1788
24.6667,1789
29.4872,1790
32.8744,1791
35.1145,1792
32,1793
21.0784,1794
30.4721,1795
35.3846,1796
29.5337,1797
27.5142,1798
35.5932,1799
21.2329,1800
47.6615,1801
37.799,1802
21.2919,1803
31.5603,1804
38.2892,1805
20.367,1806
36.8515,1807
45.4976,1808
44.2438,1809
21.8992,1810
32.0151,1811
26.087,1812
35,1813
42.7885,1814
36.4444,1815
29.085,1816
33.1325,1817
19.697,1818
29.1845,1819
16.7224,1820
61.157,1821
27.758,1822
29.3666,1823
36.6594,1824
26.0586,1825
44.6043,1826
32.5926,1827
26.8085,1828
31.9328,1829
37.5,1830
22.3684,1831
29.8137,1832
27.5641,1833
29.2398,1834
42.2414,1835
26.0223,1836
23.0608,1837
34.9593,1838
36.129,1839
19.2612,1840
26.2104,1841
27.7937,1842
32.2222,1843
38.4298,1844
34.8958,1845
28.7582,1846
32.493,1847
19.5745,1848
30.2158,1849
30.5936,1850
31.3725,1851
35.8586,1852
25.3012,1853
36.7841,1854
18.2741,1855
35.8621,1856
31.6547,1857
27.4272,1858
32.1656,1859
42.8571,1860
28.8288,1861
28.1046,1862
35.3591,1863
21.9048,1864
25.7732,1865
24.3553,1866
30.3226,1867
22.8205,1868
23.4146,1869
28.3784,1870
40.1042,1871
24.6781,1872
25.3521,1873
26.0546,1874
33.8462,1875
32.5885,1876
30.6306,1877
23.0769,1878
31.4176,1879
22.6013,1880
22.8643,1881
28.1046,1882
28.5714,1883
22.3776,1884
28.3702,1885
28.3019,1886
28.821,1887
32.2476,1888
30.531,1889
29.5547,1890
36.8171,1891
0,1892
28.4483,1893
42.7184,1894
24.1525,1895
32,1896
38.4106,1897
30.8824,1898
25.8475,1899
30.5085,1900
26.7361,1901
32.2034,1902
33.452,1903
34.767,1904
29.2154,1905
